class_name,new,portrait
add,0,0.0001
assertFailInjectNotRegistered,0,0.0001
attach,0,0.0001
buildNamesIndex,0,0.0001
coffee.CoffeeApp,0,0.0441
coffee.CoffeeMaker,0,0.0035
coffee.DripCoffeeModule,0,0.0001
coffee.ElectricHeater,0,0.0035
coffee.Heater,0,0.0001
coffee.Pump,0,0.0001
coffee.Thermosiphon,0,0.0001
collectIncludedModulesRecursively,0,0.0001
com.example.dagger.activitygraphs.ActivityModule,0,0.0421
com.example.dagger.activitygraphs.AndroidModule,0,0.0137
com.example.dagger.activitygraphs.DemoApplication,0,0.0001
com.example.dagger.activitygraphs.DemoBaseActivity,0,0.0419
com.example.dagger.activitygraphs.ui.ActivityTitleController,0,0.0137
com.example.dagger.activitygraphs.ui.HomeFragment,0,0.0001
com.example.dagger.simple.AndroidModule,0,0.0001
com.example.dagger.simple.DemoApplication,0,0.0001
create,0,0.0025
dagger.ExtensionTest,0,0.02
dagger.ExtensionWithStateTest.RootModule,0,0.0001
dagger.ExtensionWithStateTest,0,0.0001
dagger.InjectionOfLazyTest.TestModule,0,0.0001
dagger.InjectionOfLazyTest,0,0.042
dagger.InjectionTest.Anonymous-0b9324cd-860a-4bdb-bf88-0e726151fa07,1,
dagger.InjectionTest.BaseModule,0,0.0001
dagger.InjectionTest.ExtendsParameterizedType,0,0.0514
dagger.InjectionTest.OverridesModule,0,0.0001
dagger.InjectionTest.TestModule,0,0.042
dagger.InjectionTest,0,0.042
dagger.InjectStaticsTest.TestModule,0,0.0001
dagger.InjectStaticsTest,0,0.02
dagger.internal.Binding.Anonymous-592b814a-ac84-41d2-ab30-0c974672ef2b,1,
dagger.internal.Binding,0,0.0035
dagger.internal.BuiltInBinding,0,0.0218
dagger.internal.codegen.AdapterJavadocs,1,
dagger.internal.codegen.DotWriterTest,0,0.0035
dagger.internal.codegen.GeneratorKeys,0,0.0025
dagger.internal.codegen.GraphAnalysisErrorHandler,1,
dagger.internal.codegen.GraphAnalysisInjectBinding,1,
dagger.internal.codegen.GraphAnalysisLoader,1,
dagger.internal.codegen.GraphAnalysisProcessor.ProviderMethodBinding,1,
dagger.internal.codegen.GraphAnalysisProcessor,1,
dagger.internal.codegen.GraphAnalysisStaticInjection,1,
dagger.internal.codegen.GraphVisualizer,0,0.0001
dagger.internal.codegen.GraphVisualizerTest,0,0.0421
dagger.internal.codegen.GraphVizWriter,1,
dagger.internal.codegen.InjectAdapterProcessor,1,
dagger.internal.codegen.ModuleAdapterProcessor,1,
dagger.internal.codegen.TypeUtils.Anonymous-374770ac-4839-47b3-a15b-1cd690ac0d9e,1,
dagger.internal.codegen.TypeUtils.Anonymous-392b01ee-566c-416a-a3b1-954e8365ca37,1,
dagger.internal.codegen.TypeUtils.Anonymous-640c8e2b-b68b-438d-9fac-2e72e5490c6d,1,
dagger.internal.codegen.TypeUtils.Anonymous-80df42a5-ff3e-4170-bf12-8bdcdf41ec9d,1,
dagger.internal.codegen.TypeUtils.Anonymous-a8814831-2774-43f9-91f5-625f8850fa0a,1,
dagger.internal.codegen.TypeUtils.Anonymous-b2f620ec-e01d-4208-8ca6-9b358efb41e9,1,
dagger.internal.codegen.TypeUtils.Anonymous-d55adcf0-1f71-458c-93ac-021db5bacc3c,1,
dagger.internal.codegen.TypeUtils,1,
dagger.internal.FailoverLoader,1,
dagger.internal.Keys,0,0.0427
dagger.internal.KeysTest,0,0.0202
dagger.internal.LazyBinding,0,0.0001
dagger.internal.Linker.DeferredBinding,0,0.0001
dagger.internal.Linker.ErrorHandler.Anonymous-56de567b-66f7-46ae-a083-ed8c537cd956,1,
dagger.internal.Linker.ErrorHandler,0,0.0431
dagger.internal.Linker.SingletonBinding,0,0.042
dagger.internal.Linker,0,0.1171
dagger.internal.Loader,0,0.0005
dagger.internal.loaders.GeneratedAdapters,1,
dagger.internal.loaders.ReflectiveAtInjectBinding,1,
dagger.internal.loaders.ReflectiveModuleAdapter.ProviderMethodBinding,1,
dagger.internal.loaders.ReflectiveModuleAdapter,1,
dagger.internal.loaders.ReflectiveStaticInjection,1,
dagger.internal.LruCache,0,0.0035
dagger.internal.ModuleAdapter,0,0.0025
dagger.internal.ProblemDetector.ArraySet,0,0.0035
dagger.internal.SetBinding,0,0.0001
dagger.internal.SingletonBindingTest,0,0.0001
dagger.internal.StaticInjection,0,0.0002
dagger.internal.ThrowingErrorHandler,0,0.0001
dagger.internal.UniqueMap,0,0.0148
dagger.Lazy,0,0.0002
dagger.LazyInjectionTest.TestModule,0,0.02
dagger.LazyInjectionTest,0,0.0137
dagger.MembersInjector,0,0.0001
dagger.MembersInjectorTest.StringModule,0,0.0001
dagger.MembersInjectorTest.TestModule,0,0.0001
dagger.MembersInjectorTest,0,0.0137
dagger.ModuleTest.ModuleWithBinding,0,0.0001
dagger.ModuleTest.ModuleWithConstructor,0,0.0001
dagger.ModuleTest.ProvidesLazyModule,0,0.0001
dagger.ModuleTest.ProvidesProviderModule,0,0.0001
dagger.ModuleTest.ProvidesRawLazyModule,0,0.0001
dagger.ModuleTest.ProvidesRawProviderModule,0,0.0001
dagger.ModuleTest.TestModule,0,0.0005
dagger.ModuleTest.TestModuleA,0,0.0001
dagger.ModuleTest,0,0.0001
dagger.ObjectGraph.DaggerObjectGraph,0,0.0002
dagger.ObjectGraph,0,0.0025
dagger.ProblemDetectorTest.TestModule,0,0.0001
dagger.ProblemDetectorTest,0,0.0001
dagger.SetBindingTest.Logger,0,0.0001
dagger.SetBindingTest.LogModule.Anonymous-d2b70d92-7ba8-49fa-b6ca-c92f8aba98ef,1,
dagger.SetBindingTest.LogModule,0,0.0001
dagger.SetBindingTest.LogSink,0,0.0001
dagger.SetBindingTest.TestEntryPoint,0,0.0001
dagger.SetBindingTest.TestIncludesModule,0,0.0514
dagger.SetBindingTest.TestModule.Anonymous-9ac27f94-fe22-40fb-a109-a48874cddf02,1,
dagger.SetBindingTest.TestModule,0,0.0137
dagger.SetBindingTest,0,0.0025
dagger.testing.it.BuildLogValidator,0,0.0001
dagger.ThreadSafetyTest.Anonymous-c9cbaf2d-4729-467c-a249-5cc77c14889c,1,
dagger.ThreadSafetyTest.Anonymous-ddf4e1f1-7748-431e-bc0d-84f564ec407b,1,
dagger.ThreadSafetyTest.LatchingModule,0,0.0202
dagger.ThreadSafetyTest,0,0.02
dagger.UnusedProviderTest.ExampleLibraryModule,0,0.0001
dagger.UnusedProviderTest.TestModule,0,0.0002
dagger.UnusedProviderTest,0,0.0025
dependOnLazy,0,0.0025
detectCircularDependencies,0,0.0001
detectProblems,0,0.0001
detectUnusedBinding,0,0.0001
get,0,0.0001
getAllModuleAdapters,0,0.0001
getBindings,0,0.0001
getDependencies,0,0.0025
handleBindings,0,0.0001
handleSetBindings,0,0.0001
injectMembers,0,0.0431
installBindings,0,0.0001
makeGraph,0,0.0001
onActivityCreated,0,0.0005
onCreate,0,0.0215
onCreateView,0,0.0137
provideF,0,0.0001
providePump,0,0.0001
putBinding,0,0.0005
scope,0,0.0001
test.Test.TestModule,0,0.0001
test.TestApp.C,0,0.0005
test.TestApp.CyclicModule,0,0.0001
test.TestApp.Dependency,0,0.0005
test.TestApp.TestModule,0,0.0005
test.TestApp,0,0.0025
test.TestModule,0,0.0002
TestApp.A,0,0.0001
TestApp.main,0,0.0025
TestApp.run,0,0.0001
write,0,0.1718
writeDotFile,0,0.0001
writeProvidesAdapter,0,0.0001
