class_name,new,portrait
add,0,0.0088
addNodes,0,0.009
com.apisolutions.classysharkandroid.activities.classysharkandroid.ExampleUnitTest,0,0.0094
com.google.classyshark.cli.CliMode,0,0.0106
com.google.classyshark.gui.GuiMode.Anonymous-b8075509-93a3-40cd-86e4-31be673a4e76,1,
com.google.classyshark.gui.GuiMode,0,0.009
com.google.classyshark.gui.panel.chart.RingChart,0,0.0088
com.google.classyshark.gui.panel.chart.RingChartPanel.Anonymous-3c369d2c-3ec7-41ac-9ad2-f5cde8b52e7b,1,
com.google.classyshark.gui.panel.chart.RingChartPanel.Anonymous-4de4ead9-e6dc-4480-aaad-3aeb2809fa91,1,
com.google.classyshark.gui.panel.chart.RingChartPanel.Anonymous-6fddc5c0-0331-4807-8f8d-9ba2f7931885,1,
com.google.classyshark.gui.panel.chart.RingChartPanel.Anonymous-a219a1ed-7e84-402b-82be-fc51ad65f70a,1,
com.google.classyshark.gui.panel.chart.RingChartPanel.Anonymous-b6525223-6dea-4c87-8505-c541166aad63,1,
com.google.classyshark.gui.panel.chart.RingChartPanel.Anonymous-e704e508-04ab-4cff-80e4-545c3ef6dfba,1,
com.google.classyshark.gui.panel.chart.RingChartPanel.Anonymous-eb69fc7e-81d9-450f-884c-975d70e44bf6,1,
com.google.classyshark.gui.panel.chart.RingChartPanel,0,0.0084
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-0fa81ed4-5f16-4485-a892-249ede0f064d,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-25695fe9-5743-46d6-ae64-96d6ae31639b,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-306d718b-d138-4fb4-a895-d060c987464f,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-52671802-3be5-4b90-8704-ab2b708c6288,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-5b6e5cb4-4abc-4366-8353-db547729f535,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-73e4f566-9baf-4d1b-aa21-edeacc7a0f37,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-a890833b-d907-4806-bc2d-12d00adf9750,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-a8f993fd-931f-4acd-98d4-f91070d5e273,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-b72275d8-30ff-4470-8633-a901eb3baff9,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-cf90318c-369b-48e2-951b-d6062215dc08,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-d51c3ef5-5d33-4331-bd77-85d46a3ca917,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-f88c2833-009f-40fe-ac0c-83fbd8f55d03,1,
com.google.classyshark.gui.panel.ClassySharkPanel.Anonymous-ff1e5248-9643-467e-9a2f-9a2867223f82,1,
com.google.classyshark.gui.panel.ClassySharkPanel,0,0.009
com.google.classyshark.gui.panel.displayarea.BatchDocument,0,0.0147
com.google.classyshark.gui.panel.displayarea.DisplayArea.Anonymous-2b4a53cb-5499-42d8-bde9-345a7959b686,1,
com.google.classyshark.gui.panel.displayarea.DisplayArea.Anonymous-2efa9efd-353e-406e-a113-d304d7bcff2b,1,
com.google.classyshark.gui.panel.displayarea.DisplayArea.Anonymous-435040a3-cbe8-463a-9a45-031a7336572a,1,
com.google.classyshark.gui.panel.displayarea.DisplayArea.Anonymous-67454acd-2768-4329-bec3-015d7ca2592c,1,
com.google.classyshark.gui.panel.displayarea.DisplayArea.Anonymous-ced951cb-a358-446f-8445-51cb489fe301,1,
com.google.classyshark.gui.panel.displayarea.DisplayArea.Anonymous-d30724ba-bb13-4028-8237-9b9efb25779d,1,
com.google.classyshark.gui.panel.displayarea.DisplayArea,0,0.0149
com.google.classyshark.gui.panel.displayarea.doodles.Doodle,0,0.009
com.google.classyshark.gui.panel.io.CurrentFolderConfig,0,0.0091
com.google.classyshark.gui.panel.io.Export2FileWriter,1,
com.google.classyshark.gui.panel.io.FileChooserUtils,0,0.0092
com.google.classyshark.gui.panel.io.RecentArchivesConfig,0,0.0092
com.google.classyshark.gui.panel.methodscount.MethodsCountPanel.Anonymous-de20f33f-0bec-40f6-9316-f8d272ee3560,1,
com.google.classyshark.gui.panel.methodscount.MethodsCountPanel.NodeWorker,0,0.0091
com.google.classyshark.gui.panel.methodscount.MethodsCountPanel,0,0.0088
com.google.classyshark.gui.panel.reducer.Reducer,0,0.009
com.google.classyshark.gui.panel.toolbar.KeyUtils,0,0.009
com.google.classyshark.gui.panel.toolbar.RecentArchivesButton.Anonymous-0d119abb-9037-418a-a2af-0e3219bb8542,1,
com.google.classyshark.gui.panel.toolbar.RecentArchivesButton.MousePopupListener,0,0.009
com.google.classyshark.gui.panel.toolbar.RecentArchivesButton.PopupPrintListener,0,0.0084
com.google.classyshark.gui.panel.toolbar.RecentArchivesButton.RecentFilesListener,0,0.009
com.google.classyshark.gui.panel.toolbar.RecentArchivesButton,0,0.0091
com.google.classyshark.gui.panel.toolbar.Toolbar.Anonymous-4280abab-f263-4861-8f38-de5ad7f31f3a,1,
com.google.classyshark.gui.panel.toolbar.Toolbar.Anonymous-4a0272b4-728b-4ff3-878e-fcde8265a1a7,1,
com.google.classyshark.gui.panel.toolbar.Toolbar.Anonymous-7a4bfd10-d9c9-4473-a2f4-8e2132b3eea1,1,
com.google.classyshark.gui.panel.toolbar.Toolbar.Anonymous-8d7652db-a47e-411e-a766-0df787b9198b,1,
com.google.classyshark.gui.panel.toolbar.Toolbar.Anonymous-adc67387-e5cc-43ac-87ed-2c9bdfe6e4ec,1,
com.google.classyshark.gui.panel.toolbar.Toolbar.Anonymous-c3529283-5813-46d2-a26f-240157b42665,1,
com.google.classyshark.gui.panel.toolbar.Toolbar.Anonymous-fabcdc05-ee44-4a75-9aa2-6da3772de5c0,1,
com.google.classyshark.gui.panel.toolbar.Toolbar,0,0.0152
com.google.classyshark.gui.panel.toolbar.ToolbarController,0,0.0151
com.google.classyshark.gui.panel.tree.FilesTree.Anonymous-e6c93a25-a7fc-49a9-9a8d-9fec20a6049d,1,
com.google.classyshark.gui.panel.tree.FilesTree,0,0.0083
com.google.classyshark.gui.panel.tree.NodeInfo,0,0.0115
com.google.classyshark.gui.panel.ViewerController,0,0.0091
com.google.classyshark.Main,0,0.0085
com.google.classyshark.silverghost.contentreader.aar.AarReader,0,0.009
com.google.classyshark.silverghost.contentreader.apk.ApkReader,0,0.0114
com.google.classyshark.silverghost.contentreader.BinaryContentReader,0,0.009
com.google.classyshark.silverghost.contentreader.clazz.ClazzLoader.ByteArrayClassLoader,0,0.0083
com.google.classyshark.silverghost.contentreader.clazz.ClazzLoader,0,0.0083
com.google.classyshark.silverghost.contentreader.clazz.ClazzReader,0,0.0091
com.google.classyshark.silverghost.contentreader.ContentReader,0,0.009
com.google.classyshark.silverghost.contentreader.dex.DexlibLoader,0,0.0092
com.google.classyshark.silverghost.contentreader.dex.DexReader,0,0.0152
com.google.classyshark.silverghost.contentreader.jar.JarReader,0,0.0088
com.google.classyshark.silverghost.methodscounter.ClassInfo,0,0.0114
com.google.classyshark.silverghost.methodscounter.ClassNode,0,0.009
com.google.classyshark.silverghost.methodscounter.RootBuilder,0,0.0122
com.google.classyshark.silverghost.translator.apk.ApkTranslator.ApkAnalysis,0,0.0091
com.google.classyshark.silverghost.translator.apk.ApkTranslator.ApkInspectVisitor,0,0.009
com.google.classyshark.silverghost.translator.apk.ApkTranslator.DexData,0,0.0114
com.google.classyshark.silverghost.translator.apk.ApkTranslator,0,0.009
com.google.classyshark.silverghost.translator.dex.DexInfoTranslator,0,0.0088
com.google.classyshark.silverghost.translator.dex.DexMethodsDumper.ApkInspectVisitor,0,0.0114
com.google.classyshark.silverghost.translator.dex.DexMethodsDumper,0,0.0472
com.google.classyshark.silverghost.translator.dex.DexStringsDumper,0,0.0089
com.google.classyshark.silverghost.translator.elf.ElfReader,0,0.0088
com.google.classyshark.silverghost.translator.elf.ElfTranslator,0,0.0152
com.google.classyshark.silverghost.translator.jar.JarInfoTranslator,0,0.0186
com.google.classyshark.silverghost.translator.java.clazz.asm.ClassBytesFromJarExtractor,0,0.0088
com.google.classyshark.silverghost.translator.java.clazz.asm.ClassDetailsFiller,0,0.009
com.google.classyshark.silverghost.translator.java.clazz.asm.MetaObjectAsmClass,0,0.0092
