class_name,new,portrait
addArgument,0,0.0238
addField,0,0.0015
addImplementedType,0,0.0015
addIncludesFromSuperclasses,0,0.0016
addItem,0,0.0015
addMethod,0,0.0015
addParameter,0,0.0014
addSnippet,0,0.0015
addTypeParameter,0,0.0015
addTypeParameters,0,0.0015
addTypeVariable,0,0.0016
annotate,0,0.0015
apply,0,0.0014
asyncDependencyType,0,0.0015
basicObject_noDeps,0,0.0015
booleanArrayProvider,0,0.0015
booleanProvider,0,0.0019
boxedPrimitiveProviders,0,0.0015
boxedPrimitives,0,0.0015
builderMsgsFor,1,
byteArrayProvider,0,0.0015
byteProvider,0,0.0015
charArrayProvider,0,0.0015
charProvider,0,0.0015
coffee.CoffeeApp.Coffee,0,0.0015
coffee.CoffeeApp,0,0.0015
coffee.CoffeeMaker,0,0.0015
coffee.DripCoffeeModule,0,0.0015
coffee.ElectricHeater,0,0.0015
coffee.Heater,0,0.0024
coffee.Pump,0,0.0015
coffee.Thermosiphon,0,0.0015
collidesWithVisibleClass,0,0.0016
com.example.dagger.activitygraphs.AbstractActivityComponent,0,0.0015
com.example.dagger.activitygraphs.ActivityModule,0,0.0267
com.example.dagger.activitygraphs.ApplicationComponent,0,0.0036
com.example.dagger.activitygraphs.DemoApplication,0,0.0212
com.example.dagger.activitygraphs.DemoApplicationModule,0,0.0012
com.example.dagger.activitygraphs.ui.ActivityTitleController,0,0.0274
com.example.dagger.activitygraphs.ui.HomeActivity,0,0.0238
com.example.dagger.activitygraphs.ui.HomeFragment,0,0.0016
com.example.dagger.simple.AndroidModule,0,0.0238
com.example.dagger.simple.DemoApplication.ApplicationComponent,0,0.0015
com.example.dagger.simple.DemoApplication,0,0.0016
compare,0,0.0019
compute,0,0.0015
computeNext,0,0.0267
create,0,0.0018
createBuilderSpec,1,
createForComponent,1,
createForMapBindingContribution,0,0.0015
createForSubcomponent,1,
createFutureProduced,0,0.0015
createFutureSingletonSet,0,0.0015
createMessage,0,0.0016
createSubcontext,0,0.0015
createWithTypeFromKey,0,0.0015
dagger.internal.codegen.Binding.Anonymous-4a63913d-dc04-4baa-840d-33d6bdaee3ed,1,
dagger.internal.codegen.Binding.Anonymous-5c80dc62-5821-4acf-9b9d-54ff15123ba3,1,
dagger.internal.codegen.Binding.Anonymous-60c11050-e5a3-4fee-a739-8e799610b018,1,
dagger.internal.codegen.Binding.Anonymous-9eddf7e0-992f-4b1c-bec1-7e33325f303d,1,
dagger.internal.codegen.Binding,0,0.0012
dagger.internal.codegen.BindingFieldTest,0,0.0019
dagger.internal.codegen.BindingGraph.Factory.RequestResolver,0,0.0212
dagger.internal.codegen.BindingGraph.Factory,0,0.0016
dagger.internal.codegen.BindingGraph.ResolvedBindings,0,0.0024
dagger.internal.codegen.BindingGraph,0,0.0231
dagger.internal.codegen.BindingGraphValidator.Anonymous-4625989e-1e6a-4268-ada5-e6d7a24308be,1,
dagger.internal.codegen.BindingGraphValidator.Anonymous-4f1bed4a-54f1-4937-a2e1-5122561840a5,1,
dagger.internal.codegen.BindingGraphValidator.Anonymous-96efc53f-b573-4d8a-9506-1cbc329c7dd8,1,
dagger.internal.codegen.BindingGraphValidator.Anonymous-c73d2cdd-1c60-447c-aa40-52e758619cc8,1,
dagger.internal.codegen.BindingGraphValidator.Anonymous-dea1c216-6f29-4ffc-85ab-75f3f8324dfe,1,
dagger.internal.codegen.BindingGraphValidator.Anonymous-ed58cbe1-ace4-4c93-92c4-8af523d82850,1,
dagger.internal.codegen.BindingGraphValidator.ResolvedRequest,0,0.0022
dagger.internal.codegen.BindingGraphValidator.Traverser,0,0.0016
dagger.internal.codegen.BindingGraphValidator,0,0.002
dagger.internal.codegen.BindingKey,0,0.0019
dagger.internal.codegen.BuilderValidator,1,
dagger.internal.codegen.ComponentBuilderTest,1,
dagger.internal.codegen.ComponentDescriptor.BuilderSpec,1,
dagger.internal.codegen.ComponentDescriptor.ComponentMethodDescriptor,0,0.0036
dagger.internal.codegen.ComponentDescriptor.Factory,0,0.0036
dagger.internal.codegen.ComponentDescriptor.Kind,0,0.0036
dagger.internal.codegen.ComponentDescriptor,0,0.0239
dagger.internal.codegen.ComponentGenerator.Anonymous-11ba454d-4ae4-4524-a0b6-7ee4cb5d5ab9,1,
dagger.internal.codegen.ComponentGenerator.Anonymous-24825da5-da82-4ff3-808b-6c6bfda00620,1,
dagger.internal.codegen.ComponentGenerator.Anonymous-5136ebea-4731-4c12-8c71-b89a04c1297d,1,
dagger.internal.codegen.ComponentGenerator.Anonymous-650794c3-e8a9-450b-874f-798940f28696,1,
dagger.internal.codegen.ComponentGenerator.Anonymous-6a43d8ae-4491-4809-88cb-5d25c1bc8c59,1,
dagger.internal.codegen.ComponentGenerator.Anonymous-7c027d83-870f-4133-9e3f-bd94bdb07d80,1,
dagger.internal.codegen.ComponentGenerator.Anonymous-c8e69588-6dc7-484f-bf14-574dfd846650,1,
dagger.internal.codegen.ComponentGenerator.Anonymous-ef1a8f1b-bee4-4a87-ad21-d419f5f22fee,1,
dagger.internal.codegen.ComponentGenerator.Anonymous-f22a0ee9-ba62-4f59-b380-a2cfdbf18d5a,1,
dagger.internal.codegen.ComponentGenerator.MemberSelect,0,0.0237
dagger.internal.codegen.ComponentGenerator.ProxyClassAndField,0,0.0013
dagger.internal.codegen.ComponentGenerator,0,0.4346
dagger.internal.codegen.ComponentProcessingStep,0,0.253
