class_name,new,portrait
checkTapSanity,0,0.011
connect,0,0.011
doTest,0,0.011
getEventTimeMicro,0,0.0112
getHistoricalEventTimeMicro,0,0.011
getInstance,0,0.011
onBindDialogView,1,
onClick,0,0.011
onClickAudio,0,0.0118
onClickCheckDrift,0,0.011
onClickClockSync,0,0.0118
onClickDragLatency,0,0.0115
onClickMIDI,0,0.011
onClickOpenLog,0,0.011
onClickPing,0,0.011
onClickReconnect,0,0.011
onClickScreenResponse,0,0.011
onClickStartListener,0,0.0118
onClickSync,0,0.011
onClickTapLatency,0,0.011
onCreate,0,0.0151
onCreateOptionsMenu,0,0.011
onCreatePreferences,1,
onCreateView,0,0.011
onDeviceOpened,0,0.011
onDisplayPreferenceDialog,1,
onGetDefaultValue,1,
onNewIntent,0,0.011
onOptionsItemSelected,0,0.011
onPreferenceChange,1,
onReceive,0,0.011
onSaveInstanceState,1,
onTouch,0,0.013
org.chromium.latency.walt.AudioFragment,0,0.0118
org.chromium.latency.walt.AudioTest.Anonymous-5210b9d1-ebe4-47e6-9c11-1c7224e5f974,1,
org.chromium.latency.walt.AudioTest.Anonymous-6366cece-ce6a-4443-840d-b3ad1db91208,1,
org.chromium.latency.walt.AudioTest.Anonymous-bf9ec74b-7d08-43eb-bc97-6883a8203152,1,
org.chromium.latency.walt.AudioTest,0,0.013
org.chromium.latency.walt.AutoRunFragment.Anonymous-164d50b7-ace3-4180-9bbb-94216c09c624,1,
org.chromium.latency.walt.AutoRunFragment.Anonymous-61e085a4-3348-48d3-8904-2252b90b5caf,1,
org.chromium.latency.walt.AutoRunFragment.Anonymous-8bed8959-85cb-4eea-9f5a-2bdcf52fc295,1,
org.chromium.latency.walt.AutoRunFragment.Anonymous-e8e2c1bf-b87e-4ca2-8e99-054e71cf60f6,1,
org.chromium.latency.walt.AutoRunFragment,0,0.0112
org.chromium.latency.walt.ClockManager.TriggerHandler.Anonymous-0c622e82-f32b-481d-abe4-82fb48c8cf21,1,
org.chromium.latency.walt.ClockManager.TriggerHandler,0,0.0115
org.chromium.latency.walt.ClockManager.TriggerListener,0,0.0116
org.chromium.latency.walt.ClockManager,0,0.0118
org.chromium.latency.walt.DiagnosticsFragment,0,0.013
org.chromium.latency.walt.DragLatencyFragment,0,0.011
org.chromium.latency.walt.LogFragment,0,0.0114
org.chromium.latency.walt.MainActivity.Anonymous-845e32cf-ae93-4bbb-893d-f86b379a79b8,1,
org.chromium.latency.walt.MainActivity.LoggingExceptionHandler,0,0.011
org.chromium.latency.walt.MainActivity,0,0.0113
org.chromium.latency.walt.MidiFragment,0,0.011
org.chromium.latency.walt.MidiTest.Anonymous-4293d6c4-bbb5-458f-bfda-f6c6b67ea8d3,1,
org.chromium.latency.walt.MidiTest.Anonymous-6c3be17a-cfc5-4729-be8f-7c7dd3c0191a,1,
org.chromium.latency.walt.MidiTest.Anonymous-97a00e72-168d-48e7-9d80-f3d492a1faf6,1,
org.chromium.latency.walt.MidiTest.Anonymous-b54ea2fe-2044-44d7-abdc-6d87f51ee60a,1,
org.chromium.latency.walt.MidiTest.Anonymous-f598d5f3-77ce-4a9a-98c7-33fef3df59bf,1,
org.chromium.latency.walt.MidiTest,0,0.0114
org.chromium.latency.walt.MidiTest.WaltReceiver,0,0.011
org.chromium.latency.walt.NumberPickerPreference.NumberPickerPreferenceDialogFragmentCompat,1,
org.chromium.latency.walt.NumberPickerPreference,1,
org.chromium.latency.walt.ScreenResponseFragment.Anonymous-1b4c1369-549f-465d-b316-3d533396f0f7,1,
org.chromium.latency.walt.ScreenResponseFragment.Anonymous-bb2ab299-0485-47e7-a161-8655adc9912e,1,
org.chromium.latency.walt.ScreenResponseFragment,0,0.0115
org.chromium.latency.walt.SimpleLogger,0,0.013
org.chromium.latency.walt.TapLatencyFragment,0,0.0112
org.chromium.latency.walt.UsMotionEvent,0,0.0111
org.chromium.latency.walt.Utils,0,0.0112
registerReceiver,0,0.011
switchScreen,0,0.011
unregisterReceiver,0,0.0114
