file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\rejoiner\GqlInputConverter.java,com.google.api.graphql.rejoiner.GqlInputConverter,class,17,22,5,17,23,1,0,31,34,0.81481487,0.0,0.0,9,4,0,4,0,5,5,0,0,0,3,1,0,3,0,0,3,0,9,119,14,3,6,0,1,4,0,11,1,11,3,0,1,0,56,16,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\rejoiner\TypeModification.java,com.google.api.graphql.rejoiner.TypeModification,interface,1,11,10,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\library\graphqlserver\GraphQlServer.java,com.google.api.graphql.examples.library.graphqlserver.GraphQlServer,class,19,20,1,19,10,2,0,42,8,0.8,0.0,0.0,5,4,2,3,0,0,2,0,0,0,5,5,0,5,0,0,5,0,7,61,5,0,1,1,1,7,2,16,0,18,2,1,0,1,72,1,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\test\java\com\google\api\graphql\rejoiner\SchemaProviderModuleTest.java,com.google.api.graphql.rejoiner.SchemaProviderModuleTest,class,8,8,0,8,3,1,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,1,3,0,3,0,4,0,0,18,17,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\execution\src\main\java\com\google\api\graphql\execution\GuavaListenableFutureSupport.java,com.google.api.graphql.execution.GuavaListenableFutureSupport$Anonymous1,anonymous,4,4,0,4,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,1,0,2,2,0,0,1,16,-1,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\rejoiner\Type.java,com.google.api.graphql.rejoiner.Type$ModifiableType,innerclass,7,7,0,7,6,1,0,1,0,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,21,5,0,0,0,0,0,0,1,0,1,0,0,0,0,31,25,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\streaming\backend\HelloWorldServer.java,com.google.api.graphql.examples.streaming.backend.HelloWorldServer$GreeterImpl,innerclass,3,3,0,3,2,2,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,1,0,8,2,0,3,0,1,0,0,0,11,8,3
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\rejoiner\Type.java,com.google.api.graphql.rejoiner.Type,class,5,10,5,5,3,6,0,1,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,105,2,0,0,0,0,0,0,0,0,0,0,0,7,0,23,17,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\rejoiner\ProtoRegistry.java,com.google.api.graphql.rejoiner.ProtoRegistry$Builder,innerclass,17,17,0,17,17,1,0,41,8,0.63888896,0.0,0.0,9,3,0,3,0,6,6,0,0,0,4,0,0,4,0,0,4,0,13,82,10,5,0,0,0,1,0,17,0,18,4,0,0,2,51,9,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\streaming\graphqlserver\HelloWorldSchemaModule.java,com.google.api.graphql.examples.streaming.graphqlserver.HelloWorldSchemaModule,class,8,9,1,8,1,3,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,24,16,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\java\com\google\api\graphql\rejoiner\GqlInputConverter.java,com.google.api.graphql.rejoiner.GqlInputConverter$Builder,innerclass,9,9,0,9,7,1,0,17,0,0.44444445,0.0,0.0,3,1,0,1,0,2,2,0,0,0,3,0,0,3,0,0,3,0,6,35,3,3,0,0,0,0,0,9,0,9,2,0,0,0,22,8,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\helloworld\graphqlserver\HelloWorldSchemaModule.java,com.google.api.graphql.examples.helloworld.graphqlserver.HelloWorldSchemaModule,class,5,6,1,5,1,3,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,16,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\helloworld\backend\HelloWorldServer.java,com.google.api.graphql.examples.helloworld.backend.HelloWorldServer$GreeterImpl,innerclass,4,4,0,4,1,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,1,1,0,0,0,0,9,8,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\examples\src\main\java\com\google\api\graphql\examples\streaming\backend\HelloWorldServer.java,com.google.api.graphql.examples.streaming.backend.HelloWorldServer$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,-1,0
C:\opt\GraphEvoPRV2\projects\rejoiner\rejoiner-1-11\google-rejoiner-86c1fab\rejoiner\src\main\javatests\com\google\api\graphql\grpc\QueryResponseToProtoTest.java,com.google.api.graphql.grpc.QueryResponseToProtoTest,class,4,4,0,4,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,8,2,0,0,0,0,0,0,0,16,17,0
